name,head_size,length,power,flex,tension,brand,beam_width,weight,balance,speed,composition,price,swing_weight
Racquet0,98.0,27.0,0,64.0,52.5,Dunlop,21.5,314.0,0,2,sonic core with infinergy,219.99,326.0
Racquet1,98.0,27.0,0,64.0,52.5,Head,20.8,323.0,0,2,graphene 360+   graphite,239.95,329.0
Racquet2,100.0,27.0,1,70.0,52.0,Tecnifibre,23.0,288.5,0,1,dynacore xtc   graphite,209.95,313.0
Racquet3,98.0,27.0,0,68.0,52.0,Tecnifibre,22.5,313.5,0,2,dynacore xtc   graphite,229.95,331.0
Racquet4,98.0,27.0,0,67.0,52.0,Tecnifibre,22.5,308.5,0,2,dynacore xtc   graphite,219.95,316.0
Racquet5,100.0,27.0,1,72.0,52.0,Tecnifibre,23.0,303.5,0,1,dynacore xtc   graphite,209.95,318.0
Racquet6,100.0,27.0,1,66.0,55.0,Wilson,23.7,269.5,0,1,high performance carbon fiber,129.0,301.0
Racquet7,100.0,27.0,1,69.0,55.0,Wilson,24.0,285.0,0,1,carbon fiber,139.0,300.0
Racquet8,104.0,27.0,1,60.0,52.5,Head,24.0,294.0,0,1,graphene 360+   graphite,199.95,310.0
Racquet9,100.0,27.0,0,62.0,52.5,Head,20.0,323.0,0,2,graphene 360+   graphite,239.95,330.0
Racquet10,100.0,27.5,1,70.0,54.5,Babolat,24.0,309.0,0,2,htr   graphite,229.0,320.0
Racquet11,98.0,27.0,0,66.0,55.0,Wilson,20.6,312.0,0,2,braided graphite   basalt,159.0,325.0
Racquet12,100.0,27.0,1,66.0,52.5,Yonex,23.7,309.0,0,1,2g-namd flex force   graphite   vdm,239.0,324.0
Racquet13,100.0,27.0,1,68.0,52.5,Yonex,23.8,293.0,0,1,hm graphite   m40x with vdm hm graphite   m40x   vdm,239.0,311.0
Racquet14,100.0,27.0,0,61.0,52.5,Head,22.0,303.5,0,2,graphene 360+   graphite,229.95,320.0
Racquet15,100.0,27.0,1,70.0,54.5,Babolat,24.0,293.5,0,1,htr   graphite,209.0,316.0
Racquet16,97.0,27.0,1,70.0,55.0,Wilson,23.0,298.0,0,2,braided graphite   kevlar,219.0,315.0
Racquet17,104.0,27.0,2,60.0,57.0,Head,24.0,278.0,1,0,graphene 360+   graphite,189.95,300.0
Racquet18,95.0,27.0,0,63.0,55.0,Dunlop,20.5,323.5,0,2,sonic core with infinergy   graphite,219.99,318.0
Racquet19,100.0,27.0,1,72.0,52.5,Wilson,24.3,307.5,0,1,high performance carbon fiber,199.0,310.0
Racquet20,100.0,27.0,1,69.0,55.0,Wilson,23.7,289.5,0,1,high performance carbon fiber,139.0,315.0
Racquet21,107.0,27.2,1,62.0,52.5,Head,24.0,276.5,2,1,graphene 360+   graphite,179.95,305.0
Racquet22,100.0,27.0,1,66.0,52.5,Yonex,23.7,289.0,0,1,2g-namd flex force   graphite   vdm,229.0,306.0
Racquet23,98.0,27.0,0,65.0,52.5,Yonex,22.2,314.0,0,2,2g-namd flex force   graphite   vdm,239.0,325.0
Racquet24,98.0,27.0,0,65.0,52.5,Yonex,22.2,295.5,0,1,2g-namd flex force   graphite   vdm,229.0,307.0
Racquet25,100.0,27.0,0,64.0,52.5,Head,23.0,309.0,0,2,graphene 360+   graphite,229.95,329.0
